plate	cycle	well	channel	tile
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	99
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	100
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	101
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	102
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	103
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	104
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	105
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	106
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	107
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	108
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	109
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	110
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	111
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	112
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	113
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	114
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	115
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	116
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	117
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	118
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	119
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	120
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	121
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	122
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	123
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	124
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	125
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	126
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	127
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	128
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	129
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	130
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	131
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	132
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	133
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	134
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	135
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	136
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	137
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	138
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	139
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	140
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	141
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	142
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	143
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	144
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	145
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	146
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	147
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	148
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	149
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	150
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	151
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	152
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	153
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	154
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	155
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	156
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	157
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	158
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	159
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	160
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	161
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	162
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	163
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	164
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	165
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	166
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	167
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	168
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	169
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	170
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	171
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	172
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	173
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	174
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	175
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	176
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	177
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	178
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	179
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	180
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	181
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	182
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	183
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	184
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	185
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	186
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	187
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	188
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	189
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	190
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	191
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	192
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	193
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	194
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	195
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	196
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	197
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	198
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	199
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	200
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	201
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	202
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	203
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	204
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	205
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	206
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	207
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	208
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	209
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	210
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	211
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	212
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	213
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	214
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	215
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	216
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	217
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	218
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	219
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	220
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	221
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	222
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	223
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	224
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	225
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	226
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	227
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	228
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	229
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	230
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	231
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	232
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	233
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	234
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	235
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	236
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	237
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	238
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	239
1	1	4	DAPI,Cy3,AF594,Cy5,Cy7	240
