plate	cycle	well	tile	channel
1	1	3	99	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	100	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	101	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	102	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	103	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	104	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	105	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	106	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	107	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	108	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	109	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	110	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	111	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	112	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	113	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	114	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	115	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	116	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	117	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	118	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	119	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	120	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	121	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	122	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	123	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	124	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	125	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	126	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	127	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	128	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	129	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	130	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	131	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	132	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	133	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	134	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	135	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	136	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	137	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	138	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	139	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	140	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	141	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	142	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	143	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	144	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	145	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	146	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	147	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	148	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	149	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	150	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	151	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	152	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	153	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	154	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	155	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	156	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	157	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	158	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	159	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	160	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	161	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	162	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	163	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	164	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	165	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	166	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	167	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	168	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	169	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	170	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	171	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	172	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	173	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	174	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	175	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	176	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	177	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	178	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	179	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	180	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	181	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	182	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	183	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	184	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	185	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	186	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	187	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	188	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	189	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	190	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	191	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	192	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	193	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	194	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	195	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	196	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	197	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	198	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	199	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	200	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	201	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	202	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	203	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	204	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	205	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	206	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	207	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	208	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	209	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	210	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	211	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	212	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	213	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	214	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	215	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	216	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	217	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	218	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	219	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	220	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	221	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	222	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	223	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	224	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	225	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	226	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	227	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	228	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	229	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	230	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	231	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	232	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	233	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	234	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	235	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	236	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	237	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	238	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	239	DAPI,Cy3,AF594,Cy5,Cy7
1	1	3	240	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	0	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	1	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	2	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	3	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	4	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	5	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	6	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	7	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	8	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	9	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	10	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	11	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	12	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	13	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	14	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	15	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	16	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	17	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	18	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	19	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	20	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	21	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	22	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	23	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	24	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	25	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	26	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	27	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	28	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	29	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	30	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	31	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	32	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	33	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	34	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	35	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	36	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	37	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	38	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	39	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	40	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	41	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	42	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	43	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	44	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	45	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	46	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	47	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	48	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	49	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	50	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	51	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	52	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	53	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	54	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	55	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	56	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	57	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	58	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	59	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	60	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	61	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	62	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	63	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	64	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	65	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	66	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	67	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	68	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	69	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	70	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	71	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	72	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	73	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	74	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	75	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	76	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	77	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	78	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	79	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	80	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	81	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	82	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	83	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	84	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	85	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	86	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	87	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	88	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	89	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	90	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	91	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	92	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	93	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	94	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	95	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	96	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	97	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	98	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	99	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	100	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	101	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	102	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	103	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	104	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	105	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	106	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	107	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	108	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	109	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	110	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	111	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	112	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	113	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	114	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	115	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	116	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	117	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	118	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	119	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	120	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	121	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	122	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	123	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	124	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	125	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	126	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	127	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	128	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	129	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	130	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	131	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	132	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	133	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	134	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	135	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	136	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	137	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	138	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	139	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	140	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	141	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	142	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	143	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	144	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	145	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	146	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	147	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	148	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	149	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	150	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	151	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	152	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	153	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	154	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	155	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	156	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	157	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	158	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	159	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	160	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	161	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	162	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	163	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	164	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	165	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	166	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	167	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	168	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	169	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	170	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	171	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	172	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	173	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	174	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	175	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	176	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	177	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	178	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	179	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	180	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	181	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	182	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	183	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	184	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	185	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	186	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	187	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	188	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	189	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	190	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	191	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	192	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	193	DAPI,Cy3,AF594,Cy5,Cy7
1	1	4	194	DAPI,Cy3,AF594,Cy5,Cy7
